time,mos,flwid,upstream_bytes,downstream_bytes,protocol,src_port,dst_port,application_type,upstream_packets,downstream_packets,local_ping,server_ping
2022-09-10 08:22:17,"4.38242 
",137186,0,0,UDP,58705,3478,VOIP,0,0,0.729,150.000
2022-09-10 08:22:16,"4.38242 
",137186,0,0,UDP,58705,3478,VOIP,0,0,0.689,149.000
2022-09-10 08:22:48,"4.4184 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.573,162.000
2022-09-10 08:22:47,"4.4184 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.665
2022-09-10 08:22:46,"4.4184 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.659,154.000
2022-09-10 08:22:44,"4.46874 
",137194,690,0,UDP,59702,3478,VOIP,5,0,1.870,64.300
2022-09-10 08:22:43,"4.46874 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.693,63.800
2022-09-10 08:22:45,"4.46874 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.676,58.800
2022-09-10 08:22:42,"4.46874 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.775,165.000
2022-09-10 08:22:41,"4.46874 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.759,25.900
2022-09-10 08:22:40,"4.46874 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.767,125.000
2022-09-10 08:22:36,"4.46874 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.695,65.100
2022-09-10 08:22:35,"4.43747 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.750,51.500
2022-09-10 08:22:34,"4.43747 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.727,113.000
2022-09-10 08:22:39,"4.46874 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.745,40.800
2022-09-10 08:22:33,"4.43747 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.679,158.000
2022-09-10 08:22:38,"4.46874 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.653,105.000
2022-09-10 08:22:32,"4.43747 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.689,146.000
2022-09-10 08:22:37,"4.46874 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.762,65.200
2022-09-10 08:22:29,"4.43747 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.762,60.400
2022-09-10 08:22:28,"4.43747 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.653,96.000
2022-09-10 08:22:31,"4.43747 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.627,78.000
2022-09-10 08:22:30,"4.43747 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.724,156.000
2022-09-10 08:22:27,"4.43747 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.680,76.300
2022-09-10 08:22:25,"4.38242 
",137194,690,0,UDP,59702,3478,VOIP,5,0,0.624,141.000
